V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33
0.0395502605025274,0.248608258814888,0.592796828824778,0.57171098888762,0.248533201096188,0.388028226120584,0.241261118155271,1,0.801562628352934,0.563993587359538,0.647060123618049,0.271259010043716,1,0.250015244828235,0.213925094506595,0.831679422585762,0.523573114342132,0.426506493008751,0.35620266375401,0.664411433688085,0.421319233065826,0.381425950399064,0.0466637755661201,0.234850072497681,0.556855267034987,0.274355656429308,0.267012368968395,0.634909022507419,0.659139436646968,0.550560648785202,0.395649186351018,0.339079936135345,30
0.0800306085853514,0.346601313018929,0.507323791079169,0.662867212279614,0.304748495359581,0.189149041362406,0.267919725358075,0.976234152439541,0.617363214490431,0.698407889226403,0.213901272218496,0.23970810650519,1,0.267723537829134,0.287623826182065,0.829057745030245,0.504409264635537,0.458490237044294,0.36740853471379,0.4079477419881,0.429088528736171,0.293185991536177,0.141384773993898,0.211896629548387,0.545086181873355,0.19919420120414,0.168240366986818,0.586048801985299,0.639852754559592,0.549233240265562,0.276045342319657,0.372429457550027,30
0.0101883293232927,0.470890088321675,0.0307305791267048,0.0238108042618908,0.123487060894609,0.703725504936693,0.479177785334517,0.812602233365538,0.737358538020964,0.982718218008685,0.748719882983281,0.216461614567657,0.445461958918274,0.747696185498404,0.745929979221229,0.708605388260999,0,0.597464544250345,0.895375468115118,0.417499226095468,0.0755722361186808,1,0.0735045463008489,0.019294073793297,1,0.231485734409898,1,0.0231851231792197,0.705079537428146,0.018698396021588,1,1,15
0.824077521790863,0.0317097755781698,0.62949949615417,0.198542903090817,0.89345930413209,0.356454514327168,0.888214821342974,0.487012610527717,0.387473221593193,0.330285514782926,0.885719642317899,0.745058948657196,1,0.426785958781974,0.376912077256497,0.0629931475377783,0.449365809619195,0.56583247455352,0.740118191561421,0.361526740676093,0.110801190121679,0.42547665592752,0.870503555713422,0.772666204464482,0.35312675099852,0.3774470027108,0.678293881881934,0.411738547705321,0.0274305075498039,0.212941708728406,0.35926454097886,0.243666938572901,-15
1,1,1,0.0851808044038463,1,1,0.831673689135936,0.398700025778926,0.511038665684105,0.0129926522481327,0.00491148698715526,0,0.0156292967047049,0.933754490774316,0,0.172765079544554,1,0.0221772624703576,0.0201266676807789,0,0.0160707350155133,0.0270744896051788,0,0,0,0.691108457991193,0.03401781554045,0.036708693134971,0,0,0,0,0
0,0.0135047094234111,1,0.0254668623502072,0.548616872956388,0.0390608249277355,0.628823348126703,0.0328729798798344,0.0368572085997897,0.0356006178923997,0.437345384477013,0,1,0.0353708092866109,0,0.137531068259485,0,1,0.349189542425863,0,0.487341678897766,0.467125875550445,0.294151356499879,0,0.0270037469814924,0.128246250604166,0.974060068873753,0.612929670548975,0.0802796897503774,0.0217544781371971,0.378673277883132,0,-15
1,0.169815566849148,0.026261571528798,0.749752354239659,0.0459383388206087,0.0505922004850027,0.882021220938393,1,0.107303655136835,0.0387001386300004,0.023063975278883,0.168220667703274,0.669304238398402,0,0.833737254743485,0,0.647441675404853,0.69776260541573,0.436895205216123,0.325683004655641,0.635695746094915,0.417897730123258,0.0381162288291877,0,0.508891782739629,0.03318474819114,0.371909007159537,0.346224584364829,0.673902835347105,0.30502080498317,1,0.17277133989771,-30
0.628037400701873,0.611142973960141,0.709032027554959,0.662047001481759,0.471468910448468,0.251123744125405,0.39461310512931,1,0.831074931081955,0.183309420266041,0.180549298914925,0.362578491065282,0.55379791490197,0.274399664252775,0.405921113925819,0.425678573636276,1,0.373038711036996,0.374538606548669,0.570454388535991,1,0.505608566921832,0.283223359915292,0.0550205668233888,1,0.361841254496354,0.371898934961049,0.288867212891255,0.299534952423266,1,0.427727947819782,0.518971469595295,30
0.0101659871399166,0.46688005242075,0.471955731605336,0.806078969348496,0.763105068099127,0.724203969889186,0.0421214314997816,0.903999119701982,0.262845254739553,0.354718854218514,0.0429905834313976,0.369706378109099,0.564260543866174,0.365896494311081,0.21481456015749,1,0.134296271541659,0.525309717606074,0.232672130587932,0.60704535592316,0.929897930828674,1,0.339306923922698,0.461300709007603,1,0.0540033676979695,0.332418535652338,0.0346364274515543,0.667258498118969,1,0.297188316917186,1,0
0.081023141264316,0.514354141976199,0.500395591842686,0.79678138562874,0.758394650866981,0.703052882653454,0.133793869209012,0.922013346726534,0.303602320243767,0.140792624576858,0.162876697388359,0.0201346089967381,0.515275793473092,0.230750607233632,0.280827891702527,1,0.0342022149325514,0.680989001784934,0.130164112260424,0.0147067139027297,0.0169457145604702,1,0.368528330207996,0.23765522582255,0.236156209287731,0.306689793346021,0.319189208543629,0.166454210715564,0.635262873874581,1,0.197874980949709,0.189604961755921,0
0.664199095624175,0.447983022662105,0.678712332411048,0.598545483696568,1,0.472521678791754,0.678991572497091,1,0.418794083789328,0.0335904057511289,0.780002313536458,0.748784332756756,1,0.427668489082375,0.686487140359836,1,0.0288945594856836,0,0.810055175323448,0.640948393785121,1,0.438507500853426,0.0846281783390302,0.567705129442951,1,0.0364619492089955,1,0.361206364446386,0.549393709417064,0.932567652813746,1,0.223424071209453,15
1,0.963510176091403,1,1,0.756185360566423,1,0.277854389581729,1,1,0.860438662329296,0.406169006523583,0.794350443741038,0.0439798632635344,1,0.817957821691537,0.850322975664066,0.0348378678115703,0.054814895297332,0.22607283796839,0.386799634185769,0.560505278939021,1,0.56978319587264,0.698935764430611,0.0271849980591542,0.480219761122436,0.231045341406979,0.19291421328009,1,0.221257738344941,1,1,30
1,1,0.385328433267497,0.441971186718472,0.429949431117957,0.711470049803059,0.473854059623435,0.220379512757097,0.321623536639931,1,0.136942699291864,0.327777674130449,1,0.200260050075468,0.290352598177818,0.178120797098963,0.382069449407382,1,0.40113965075169,0.54895126030002,0.751380336452644,0.57260535994866,0.577456729345076,0.384550066498159,1,0.22465855440042,0.489119757999557,0.222109567741838,0.442042890143687,0.305956241328466,0.31956634459202,0.620294929701153,-30
0.546470407823617,0.491591042252956,1,0.032340461695497,0.75344418148495,0.419724760263271,0.58761276347125,0.455977831337149,1,1,0.119067724494009,0.329588536471105,0.829603804650463,0.603153231172061,0.289518718075006,0.338255062344935,0.615620026178481,0.734838314282458,0.324094938474403,0.224735915738278,0.478759495284965,0.869078869353296,0.487937643728597,1,0.256930456359363,0.253304784520765,0.581629968905902,0.574319242972933,0.573851973304017,1,0.509432643439391,0.981631030291651,15
0,1,0.653049993585788,1,0.593603365847742,0.624743949282173,0.121879556768421,0.40477908092059,0.137724193481231,0,1,0.472708191718528,0.0228351254497997,0.0177414742828194,0.0627598279399144,0,1,0,0.128283638478129,1,0.694904123276223,0,0,0.733236103357758,1,0,0.0728086552283097,0.00355650938476896,0.82656118441135,0.106173419512944,0.103050026676416,0.467118671426054,0
